,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,16173.0,0.014128199999959179,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",150,0.4,1000
1,100,27026.0,2.108323599999949,"[9, 9, 8, 9, 6, 9, 7, 4, 9, 1, 7, 6, 7, 9, 8, 0, 9, 8, 9, 0, 9, 9, 9, 9, 9, 3, 7, 2, 8, 5, 9, 9, 0, 8, 0, 9, 4, 0, 9, 0, 0, 1, 9, 0, 9, 8, 9, 7, 9, 0, 9, 8, 8, 1, 9, 0, 8, 1, 9, 6, 7, 8, 9, 4, 9, 9, 4, 9, 0, 9, 9, 5, 9, 2, 9, 9, 9, 1, 8, 9, 6, 8, 3, 7, 7, 0, 5, 9, 8, 1, 9, 9, 8, 5, 1, 9, 9, 7, 9, 8, 8, 9, 4, 9, 9, 9, 9, 9, 9, 1, 9, 9, 7, 2, 9, 1, 8, 2, 0, 9, 7, 8, 9, 8, 4, 9, 8, 9, 9, 9, 0, 9, 6, 9, 9, 9, 8, 7, 3, 8]",150,0.4,1000
2,1000,28193.0,20.390723099999946,"[9, 4, 8, 9, 0, 9, 7, 2, 9, 2, 9, 0, 9, 9, 5, 1, 9, 9, 9, 0, 9, 9, 9, 9, 9, 1, 4, 0, 9, 0, 9, 9, 0, 9, 0, 9, 2, 0, 9, 1, 1, 2, 9, 0, 9, 9, 9, 9, 9, 0, 9, 9, 9, 0, 9, 0, 9, 0, 9, 1, 9, 8, 9, 1, 9, 9, 1, 9, 0, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 9, 0, 9, 9, 0, 9, 9, 9, 0, 9, 9, 9, 9, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 1, 9, 9, 9, 7, 9, 0, 9, 0, 0, 9, 9, 9, 9, 9, 5, 9, 9, 9, 9, 9, 0, 9, 4, 9, 9, 9, 9, 9, 0, 9]",150,0.4,1000
3,0,16173.0,0.007706200000029639,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",150,0.5,1000
4,100,26670.0,2.1040510000000268,"[8, 2, 9, 8, 0, 9, 3, 6, 9, 9, 9, 4, 9, 8, 2, 2, 9, 9, 9, 1, 9, 9, 9, 9, 9, 2, 0, 0, 9, 0, 8, 9, 1, 8, 3, 5, 3, 2, 9, 0, 3, 9, 8, 0, 9, 9, 9, 1, 9, 2, 9, 3, 9, 3, 7, 1, 3, 0, 7, 3, 8, 6, 9, 7, 9, 7, 3, 9, 0, 9, 9, 9, 9, 8, 9, 9, 9, 4, 9, 9, 8, 9, 6, 9, 0, 2, 9, 8, 8, 4, 9, 7, 9, 3, 0, 7, 9, 9, 9, 9, 7, 8, 4, 9, 8, 8, 8, 9, 9, 5, 7, 9, 3, 4, 9, 0, 9, 4, 1, 9, 9, 9, 8, 9, 7, 8, 8, 8, 9, 5, 5, 9, 0, 8, 9, 8, 9, 4, 2, 8]",150,0.5,1000
5,1000,28196.0,19.121855099999948,"[9, 2, 9, 9, 0, 9, 9, 0, 9, 3, 9, 0, 9, 9, 9, 1, 9, 9, 9, 0, 9, 9, 9, 9, 9, 1, 1, 0, 9, 0, 9, 9, 0, 9, 1, 9, 3, 0, 9, 0, 0, 2, 9, 0, 9, 9, 9, 9, 9, 0, 9, 9, 9, 0, 9, 0, 7, 0, 9, 0, 9, 9, 9, 9, 9, 9, 1, 9, 0, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 9, 1, 9, 9, 1, 9, 9, 9, 0, 9, 9, 9, 9, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 3, 9, 0, 9, 1, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 2, 9, 9, 9, 9, 9, 0, 9]",150,0.5,1000
6,0,16173.0,0.015453800000045703,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",150,0.6,1000
7,100,26904.0,2.4346131000000923,"[9, 5, 4, 7, 0, 9, 9, 2, 9, 0, 7, 6, 7, 9, 6, 0, 5, 9, 9, 0, 9, 9, 7, 9, 9, 0, 5, 0, 9, 0, 8, 9, 1, 8, 0, 9, 1, 0, 7, 0, 9, 6, 9, 2, 8, 7, 9, 2, 9, 0, 8, 8, 8, 0, 8, 4, 1, 1, 9, 0, 8, 8, 8, 4, 8, 9, 1, 9, 3, 9, 7, 6, 9, 9, 9, 9, 9, 5, 8, 9, 9, 9, 4, 9, 2, 1, 9, 9, 8, 3, 9, 9, 8, 8, 0, 9, 9, 9, 9, 9, 7, 9, 9, 8, 9, 9, 6, 8, 9, 8, 8, 8, 6, 2, 9, 1, 9, 1, 4, 9, 9, 9, 8, 8, 2, 9, 3, 9, 9, 9, 3, 9, 6, 9, 9, 9, 7, 4, 0, 9]",150,0.6,1000
8,1000,28206.0,21.296962400000098,"[9, 1, 9, 9, 0, 9, 9, 2, 9, 2, 9, 0, 9, 9, 6, 1, 9, 9, 9, 0, 9, 9, 9, 9, 9, 0, 2, 0, 9, 0, 9, 9, 0, 9, 0, 9, 4, 0, 9, 0, 1, 2, 9, 0, 9, 9, 9, 9, 9, 0, 9, 9, 9, 0, 9, 0, 5, 0, 9, 2, 9, 9, 9, 3, 9, 9, 0, 9, 0, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 9, 0, 9, 9, 0, 9, 9, 9, 0, 9, 9, 9, 9, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 6, 9, 0, 9, 4, 0, 9, 9, 9, 9, 9, 6, 9, 9, 9, 9, 9, 0, 9, 2, 9, 9, 9, 9, 9, 0, 9]",150,0.6,1000
9,0,16173.0,0.010981899999933376,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",200,0.4,1000
