,Iteration,Time,Fitness,Restarts,max_iters,current_restart
120,120,0.0050461999999988905,24.0,10,100,0
121,121,0.005233499999999225,24.0,10,100,0
122,122,0.005423900000000259,24.0,10,100,0
123,123,0.005611899999998116,24.0,10,100,0
124,124,0.005800900000000553,24.0,10,100,0
125,125,0.005990999999998081,24.0,10,100,0
126,126,0.006189899999998971,24.0,10,100,0
127,127,0.006384199999999396,24.0,10,100,0
128,128,0.006572200000000805,24.0,10,100,0
129,129,0.006762200000000718,24.0,10,100,0
130,130,0.006949299999998715,24.0,10,100,0
131,131,0.0071574999999981515,24.0,10,100,0
132,132,0.007385199999998093,24.0,10,100,0
133,133,0.007778399999999408,24.0,10,100,0
134,134,0.008618999999999488,24.0,10,100,0
135,135,0.008851599999999848,24.0,10,100,0
136,136,0.009064899999998488,24.0,10,100,0
137,137,0.009263099999998303,24.0,10,100,0
138,138,0.009454500000000365,25.0,10,100,0
139,139,0.00964790000000093,26.0,10,100,0
140,140,0.009968300000000596,26.0,10,100,0
141,141,0.010337199999998603,26.0,10,100,0
142,142,0.010537400000000474,26.0,10,100,0
143,143,0.010726599999998143,26.0,10,100,0
144,144,0.010918499999998943,26.0,10,100,0
145,145,0.011125299999999783,26.0,10,100,0
146,146,0.011318800000001517,26.0,10,100,0
147,147,0.011515100000000444,26.0,10,100,0
148,148,0.01170709999999886,26.0,10,100,0
149,149,0.011905500000001012,26.0,10,100,0
150,150,0.012090099999998216,26.0,10,100,0
151,151,0.012298999999998728,26.0,10,100,0
152,152,0.031247900000000328,26.0,10,100,0
153,153,0.03143529999999828,26.0,10,100,0
154,154,0.03162239999999983,26.0,10,100,0
155,155,0.03180100000000152,26.0,10,100,0
156,156,0.03197150000000093,26.0,10,100,0
157,157,0.03218710000000158,26.0,10,100,0
158,158,0.03236400000000117,26.0,10,100,0
159,159,0.03254670000000104,26.0,10,100,0
160,160,0.03272850000000105,26.0,10,100,0
161,161,0.0329094000000012,26.0,10,100,0
162,162,0.03309610000000163,26.0,10,100,0
163,163,0.03327780000000047,26.0,10,100,0
164,164,0.03346170000000015,26.0,10,100,0
165,165,0.033645799999998616,26.0,10,100,0
166,166,0.03382930000000073,27.0,10,100,0
167,167,0.034019099999998303,27.0,10,100,0
168,168,0.03433019999999942,27.0,10,100,0
169,169,0.03451570000000004,27.0,10,100,0
170,170,0.034702899999999204,27.0,10,100,0
171,171,0.03488499999999917,28.0,10,100,0
172,172,0.03507270000000062,28.0,10,100,0
173,173,0.03539079999999828,28.0,10,100,0
174,174,0.03559369999999973,28.0,10,100,0
175,175,0.0357845999999995,28.0,10,100,0
176,176,0.03596759999999932,28.0,10,100,0
177,177,0.036162799999999606,28.0,10,100,0
178,178,0.036352499999999566,28.0,10,100,0
179,179,0.03654200000000074,28.0,10,100,0
180,180,0.036729199999999906,28.0,10,100,0
181,181,0.036916800000000194,28.0,10,100,0
182,182,0.03711369999999903,28.0,10,100,0
183,183,0.03730390000000128,28.0,10,100,0
184,184,0.03749129999999923,28.0,10,100,0
185,185,0.037679799999999375,28.0,10,100,0
186,186,0.037867699999999616,28.0,10,100,0
187,187,0.03806859999999901,28.0,10,100,0
188,188,0.038261999999999574,28.0,10,100,0
189,189,0.03845330000000047,28.0,10,100,0
190,190,0.03864670000000103,28.0,10,100,0
191,191,0.038837999999998374,28.0,10,100,0
192,192,0.03903790000000029,28.0,10,100,0
193,193,0.03923250000000067,28.0,10,100,0
194,194,0.03942070000000086,28.0,10,100,0
195,195,0.039606800000001385,28.0,10,100,0
196,196,0.039798099999998726,28.0,10,100,0
197,197,0.03998879999999971,28.0,10,100,0
198,198,0.040189399999999154,28.0,10,100,0
199,199,0.04037879999999916,28.0,10,100,0
200,200,0.04056890000000024,24.0,10,100,1
201,201,0.04076069999999987,24.0,10,100,1
202,202,0.06282170000000065,24.0,10,100,1
203,203,0.06526380000000032,24.0,10,100,1
204,204,0.06543260000000117,24.0,10,100,1
205,205,0.06560349999999815,24.0,10,100,1
206,206,0.06578599999999923,24.0,10,100,1
207,207,0.0659711999999999,24.0,10,100,1
208,208,0.06763660000000016,24.0,10,100,1
209,209,0.06784749999999917,24.0,10,100,1
210,210,0.06803599999999932,24.0,10,100,1
211,211,0.06821509999999975,24.0,10,100,1
212,212,0.06993699999999947,24.0,10,100,1
213,213,0.07014300000000162,25.0,10,100,1
214,214,0.07030130000000057,26.0,10,100,1
215,215,0.0704564000000012,26.0,10,100,1
216,216,0.07072199999999995,26.0,10,100,1
217,217,0.07099589999999978,26.0,10,100,1
218,218,0.07133419999999902,26.0,10,100,1
219,219,0.07173879999999855,26.0,10,100,1
220,220,0.07197030000000026,26.0,10,100,1
221,221,0.0721765000000012,26.0,10,100,1
222,222,0.07235529999999812,26.0,10,100,1
223,223,0.07255070000000075,26.0,10,100,1
224,224,0.07274070000000066,26.0,10,100,1
225,225,0.07292699999999996,26.0,10,100,1
226,226,0.07313239999999865,26.0,10,100,1
227,227,0.0733208999999988,26.0,10,100,1
228,228,0.07350530000000077,26.0,10,100,1
229,229,0.07370009999999994,26.0,10,100,1
230,230,0.07389519999999905,26.0,10,100,1
231,231,0.0741057000000005,26.0,10,100,1
232,232,0.07473780000000119,26.0,10,100,1
233,233,0.07509699999999953,26.0,10,100,1
234,234,0.07539939999999845,26.0,10,100,1
235,235,0.07563180000000003,26.0,10,100,1
236,236,0.07584500000000105,26.0,10,100,1
237,237,0.07606110000000044,26.0,10,100,1
238,238,0.07626769999999894,26.0,10,100,1
239,239,0.07647359999999992,26.0,10,100,1
240,240,0.07667819999999992,26.0,10,100,1
241,241,0.07687599999999861,26.0,10,100,1
242,242,0.07723959999999863,26.0,10,100,1
243,243,0.07747499999999974,26.0,10,100,1
244,244,0.07768790000000081,26.0,10,100,1
245,245,0.07789789999999996,26.0,10,100,1
246,246,0.07810999999999879,26.0,10,100,1
247,247,0.07831489999999874,26.0,10,100,1
248,248,0.07856590000000097,26.0,10,100,1
249,249,0.07878859999999932,26.0,10,100,1
250,250,0.07899719999999988,26.0,10,100,1
251,251,0.07922029999999936,26.0,10,100,1
252,252,0.07943609999999879,26.0,10,100,1
253,253,0.10252510000000115,26.0,10,100,1
254,254,0.10276119999999977,26.0,10,100,1
255,255,0.10298620000000014,26.0,10,100,1
256,256,0.10349250000000154,26.0,10,100,1
257,257,0.10370650000000126,26.0,10,100,1
258,258,0.10391329999999854,26.0,10,100,1
259,259,0.10413219999999868,26.0,10,100,1
260,260,0.10433310000000162,26.0,10,100,1
261,261,0.10453180000000017,26.0,10,100,1
262,262,0.1047292000000013,26.0,10,100,1
263,263,0.10493280000000027,26.0,10,100,1
264,264,0.1051423999999983,26.0,10,100,1
265,265,0.1053443999999999,26.0,10,100,1
266,266,0.10554670000000144,26.0,10,100,1
267,267,0.10573970000000088,26.0,10,100,1
268,268,0.10593509999999995,26.0,10,100,1
269,269,0.1061431000000006,26.0,10,100,1
270,270,0.10634809999999817,26.0,10,100,1
271,271,0.10654999999999859,26.0,10,100,1
272,272,0.10674829999999957,26.0,10,100,1
273,273,0.10694840000000028,26.0,10,100,1
274,274,0.10716679999999812,26.0,10,100,1
275,275,0.10737470000000116,26.0,10,100,1
276,276,0.10757630000000162,26.0,10,100,1
277,277,0.10790330000000026,26.0,10,100,1
278,278,0.10813900000000132,26.0,10,100,1
279,279,0.10855670000000117,26.0,10,100,1
280,280,0.10877669999999995,26.0,10,100,1
281,281,0.10911189999999849,26.0,10,100,1
282,282,0.10932539999999946,26.0,10,100,1
283,283,0.1095259999999989,26.0,10,100,1
284,284,0.10973239999999862,26.0,10,100,1
285,285,0.10993440000000021,26.0,10,100,1
286,286,0.11015649999999866,26.0,10,100,1
287,287,0.11035229999999885,26.0,10,100,1
288,288,0.11055599999999899,26.0,10,100,1
289,289,0.11076279999999983,26.0,10,100,1
290,290,0.11096909999999838,26.0,10,100,1
291,291,0.11119619999999841,26.0,10,100,1
292,292,0.11139839999999879,26.0,10,100,1
293,293,0.11160519999999963,26.0,10,100,1
294,294,0.11180549999999911,26.0,10,100,1
295,295,0.1120297999999984,26.0,10,100,1
296,296,0.11223719999999915,26.0,10,100,1
297,297,0.11243770000000097,26.0,10,100,1
298,298,0.11264680000000027,26.0,10,100,1
299,299,0.11285739999999933,26.0,10,100,1
300,300,0.11318410000000156,22.0,10,100,2
301,301,0.11342050000000015,23.0,10,100,2
302,302,0.11362889999999837,25.0,10,100,2
303,303,0.1379766999999994,25.0,10,100,2
304,304,0.1412553999999986,25.0,10,100,2
305,305,0.14181380000000132,25.0,10,100,2
306,306,0.1421953000000009,25.0,10,100,2
307,307,0.14239089999999877,25.0,10,100,2
308,308,0.14259369999999905,25.0,10,100,2
309,309,0.14279700000000162,25.0,10,100,2
310,310,0.14300220000000152,25.0,10,100,2
311,311,0.14332680000000053,25.0,10,100,2
312,312,0.14357569999999953,25.0,10,100,2
313,313,0.14379890000000017,25.0,10,100,2
314,314,0.14403090000000063,25.0,10,100,2
315,315,0.14422169999999923,25.0,10,100,2
316,316,0.14442419999999956,25.0,10,100,2
317,317,0.1446286999999984,26.0,10,100,2
318,318,0.144829399999999,26.0,10,100,2
319,319,0.1450445000000009,26.0,10,100,2
