,Iteration,Time,Fitness,Temperature,max_iters
115,115,0.1928459000046132,26.0,1.0,8192
116,116,0.19293669999751728,26.0,1.0,8192
117,117,0.1930458999995608,26.0,1.0,8192
118,118,0.19312820000050124,26.0,1.0,8192
119,119,0.19320449999941047,26.0,1.0,8192
120,120,0.193421700008912,26.0,1.0,8192
121,121,0.19359629999962635,26.0,1.0,8192
122,122,0.1937449000106426,26.0,1.0,8192
123,123,0.19383689999813214,26.0,1.0,8192
124,124,0.1939161000045715,26.0,1.0,8192
125,125,0.19399140001041815,26.0,1.0,8192
126,126,0.19406270000035875,26.0,1.0,8192
127,127,0.1941903000115417,26.0,1.0,8192
128,128,0.19426560000283644,26.0,1.0,8192
129,129,0.2046215000009397,26.0,1.0,8192
130,130,0.2047175000043353,26.0,1.0,8192
131,131,0.20482549999724142,26.0,1.0,8192
132,132,0.2049159000016516,26.0,1.0,8192
133,133,0.20499110000673681,26.0,1.0,8192
134,134,0.2051081000099657,26.0,1.0,8192
135,135,0.2051878000056604,26.0,1.0,8192
136,136,0.205303399998229,26.0,1.0,8192
137,137,0.20537760001025163,26.0,1.0,8192
138,138,0.20545100000163075,26.0,1.0,8192
139,139,0.20553810001001693,26.0,1.0,8192
140,140,0.20567270000174176,26.0,1.0,8192
141,141,0.20576389999769162,26.0,1.0,8192
142,142,0.20585040000150912,26.0,1.0,8192
143,143,0.20593619999999646,26.0,1.0,8192
144,144,0.20607300000847317,26.0,1.0,8192
145,145,0.20615779999934603,26.0,1.0,8192
146,146,0.2062428000062937,26.0,1.0,8192
147,147,0.2063254000095185,26.0,1.0,8192
148,148,0.20640910000656731,26.0,1.0,8192
149,149,0.20649570001114625,26.0,1.0,8192
150,150,0.20662700000684708,26.0,1.0,8192
151,151,0.20672370000102092,26.0,1.0,8192
152,152,0.20680759999959264,26.0,1.0,8192
153,153,0.2069206000014674,26.0,1.0,8192
154,154,0.20703820000926498,26.0,1.0,8192
155,155,0.20711750000191387,26.0,1.0,8192
156,156,0.20719719999760855,26.0,1.0,8192
157,157,0.2073153000092134,26.0,1.0,8192
158,158,0.20738700000219978,26.0,1.0,8192
159,159,0.20745680000982247,26.0,1.0,8192
160,160,0.20753200000035577,26.0,1.0,8192
161,161,0.2076046000001952,26.0,1.0,8192
