,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
41,1024,28.0,0.5578939999977592,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9724907646875341,1.0,8192
42,2048,28.0,0.6618287000019336,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9674500967451042,1.0,8192
43,4096,28.0,0.6618287000019336,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9674500967451042,1.0,8192
44,8192,28.0,0.6618287000019336,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9674500967451042,1.0,8192
45,0,23.0,7.080000068526715e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999964600062315,1.0,8192
46,1,23.0,0.0010832999978447333,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999458364670049,1.0,8192
47,2,23.0,0.03617199999280274,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9981930345317862,1.0,8192
48,4,24.0,0.07329590000153985,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9963419121651558,1.0,8192
49,8,24.0,0.11686569999437779,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9941737537864266,1.0,8192
50,16,24.0,0.1624100999906659,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.9919123772342102,1.0,8192
51,32,25.0,0.22029269998893142,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9890458039846557,1.0,8192
52,64,26.0,0.26955549999547657,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9866126435402913,1.0,8192
53,128,26.0,0.31546119999256916,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9843506832537277,1.0,8192
54,256,26.0,0.38146259999484755,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.9811076112199061,1.0,8192
55,512,28.0,0.4474420999904396,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9778762946852281,1.0,8192
56,1024,28.0,0.5490341999975499,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9729216638063469,1.0,8192
57,2048,28.0,0.6456857000011951,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9682312893181086,1.0,8192
58,4096,28.0,0.6456857000011951,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9682312893181086,1.0,8192
59,8192,28.0,0.6456857000011951,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9682312893181086,1.0,8192
60,0,23.0,8.759999764151871e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999956200097101,1.0,8192
61,1,23.0,0.0017711999971652403,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999114439214628,1.0,8192
62,2,23.0,0.07615399999485817,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9961995400976131,1.0,8192
63,4,24.0,0.17380419999244623,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9913474407321046,1.0,8192
64,8,24.0,0.25177679999615066,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9874900679794116,1.0,8192
65,16,24.0,0.3266943999915384,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.9837979680825536,1.0,8192
66,32,25.0,0.38308640000468586,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9810279583260215,1.0,8192
67,64,26.0,0.4407682000019122,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9782026615652916,1.0,8192
68,128,26.0,0.49935199999890756,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9753415125814618,1.0,8192
69,256,26.0,0.578012400001171,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.9715130086319868,1.0,8192
70,512,28.0,0.6696876999922097,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9670700119121167,1.0,8192
71,1024,28.0,0.7883274999912828,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9613503435521613,1.0,8192
72,2048,28.0,0.8898177999944892,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9564843136262913,1.0,8192
73,4096,28.0,0.8898177999944892,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9564843136262913,1.0,8192
74,8192,28.0,0.8898177999944892,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9564843136262913,1.0,8192
