,Iteration,Time,Fitness,Temperature,max_iters
125,125,0.03239560000008623,2.0,1,1000
126,126,0.03247070000008989,2.0,1,1000
127,127,0.03255090000004657,2.0,1,1000
128,128,0.032627400000023954,2.0,1,1000
129,129,0.03268660000003365,2.0,1,1000
130,130,0.03276460000006409,2.0,1,1000
131,131,0.032840100000044004,1.0,1,1000
132,132,0.03291300000000774,1.0,1,1000
133,133,0.03298490000008769,1.0,1,1000
134,134,0.03305799999998271,1.0,1,1000
135,135,0.03314269999998487,1.0,1,1000
136,136,0.03321990000006281,1.0,1,1000
137,137,0.033296500000005835,5.0,1,1000
138,138,0.03337550000003375,5.0,1,1000
139,139,0.033459200000038436,5.0,1,1000
140,140,0.03354239999998754,5.0,1,1000
141,141,0.0336214999999811,5.0,1,1000
142,142,0.03370119999999588,5.0,1,1000
143,143,0.03378140000006624,5.0,1,1000
144,144,0.03386330000000726,5.0,1,1000
145,145,0.033942000000024564,5.0,1,1000
146,146,0.03402479999999741,5.0,1,1000
147,147,0.03412190000005921,5.0,1,1000
148,148,0.034217000000012376,5.0,1,1000
149,149,0.03431169999998929,5.0,1,1000
150,150,0.034406500000045526,5.0,1,1000
151,151,0.034507100000041646,5.0,1,1000
152,152,0.03460289999998167,5.0,1,1000
153,153,0.0346974000000273,5.0,1,1000
154,154,0.03478470000004563,5.0,1,1000
155,155,0.03488079999999627,5.0,1,1000
156,156,0.034971300000052,5.0,1,1000
157,157,0.03506310000000212,5.0,1,1000
158,158,0.035170400000083646,5.0,1,1000
159,159,0.03526180000005752,5.0,1,1000
160,160,0.03532760000007329,5.0,1,1000
161,161,0.03541949999998906,5.0,1,1000
162,162,0.03551900000002206,5.0,1,1000
163,163,0.035609200000067176,5.0,1,1000
164,164,0.03569240000001628,5.0,1,1000
165,165,0.035777000000052794,5.0,1,1000
166,166,0.035868000000050415,5.0,1,1000
167,167,0.035954500000002554,5.0,1,1000
168,168,0.03603140000006988,5.0,1,1000
169,169,0.03612590000000182,5.0,1,1000
170,170,0.03622060000009242,5.0,1,1000
171,171,0.03631060000009256,5.0,1,1000
172,172,0.03641939999999977,5.0,1,1000
173,173,0.03655000000003383,5.0,1,1000
174,174,0.036672100000032515,5.0,1,1000
175,175,0.03678360000003522,5.0,1,1000
176,176,0.03688220000003639,5.0,1,1000
177,177,0.037008800000080555,5.0,1,1000
178,178,0.037083800000004885,5.0,1,1000
179,179,0.03719860000001063,5.0,1,1000
180,180,0.03733840000006694,5.0,1,1000
181,181,0.03746990000001915,5.0,1,1000
182,182,0.037613599999986036,5.0,1,1000
183,183,0.03773490000003221,5.0,1,1000
184,184,0.03785690000006525,5.0,1,1000
185,185,0.037979600000085156,5.0,1,1000
186,186,0.03805740000007063,5.0,1,1000
187,187,0.03816330000006474,5.0,1,1000
188,188,0.038255199999980505,5.0,1,1000
189,189,0.038365600000020095,5.0,1,1000
190,190,0.03845560000002024,5.0,1,1000
191,191,0.03854610000007597,5.0,1,1000
192,192,0.0386358000000655,5.0,1,1000
193,193,0.0387286000000131,5.0,1,1000
194,194,0.03882429999998749,5.0,1,1000
195,195,0.03889660000004369,5.0,1,1000
196,196,0.03899999999998727,5.0,1,1000
197,197,0.039116200000080426,5.0,1,1000
198,198,0.03921520000005785,5.0,1,1000
199,199,0.0393076000000292,5.0,1,1000
200,200,0.03939860000002682,5.0,1,1000
201,201,0.03948990000003505,5.0,1,1000
202,202,0.039583900000025096,5.0,1,1000
203,203,0.039672600000017155,5.0,1,1000
204,204,0.03976140000008854,5.0,1,1000
205,205,0.03985140000008869,5.0,1,1000
206,206,0.03994430000000193,5.0,1,1000
207,207,0.04004589999999553,5.0,1,1000
208,208,0.04017160000000786,5.0,1,1000
209,209,0.040300000000002,5.0,1,1000
210,210,0.040409300000078474,5.0,1,1000
211,211,0.040515300000038224,5.0,1,1000
212,212,0.040620100000069215,5.0,1,1000
213,213,0.04077480000000833,5.0,1,1000
214,214,0.04093199999999797,5.0,1,1000
215,215,0.04105179999999109,5.0,1,1000
216,216,0.04117320000000291,5.0,1,1000
217,217,0.04127860000005512,5.0,1,1000
218,218,0.041386999999986074,5.0,1,1000
219,219,0.04149440000003324,5.0,1,1000
220,220,0.041596500000082415,5.0,1,1000
221,221,0.041700700000092183,5.0,1,1000
222,222,0.04181610000000546,5.0,1,1000
223,223,0.04192280000006576,5.0,1,1000
224,224,0.042033600000081606,5.0,1,1000
225,225,0.042166800000018156,5.0,1,1000
226,226,0.04228369999998449,5.0,1,1000
227,227,0.042388800000026094,5.0,1,1000
228,228,0.04247110000005705,5.0,1,1000
229,229,0.04257680000000619,5.0,1,1000
230,230,0.042686399999979585,5.0,1,1000
231,231,0.042793300000084855,5.0,1,1000
232,232,0.042901600000050166,5.0,1,1000
233,233,0.04301229999998668,5.0,1,1000
234,234,0.04313790000003337,5.0,1,1000
235,235,0.04326409999998759,5.0,1,1000
236,236,0.04337800000007519,5.0,1,1000
237,237,0.043487500000082946,5.0,1,1000
238,238,0.04359680000004573,5.0,1,1000
239,239,0.04370620000008785,5.0,1,1000
240,240,0.044270100000062484,5.0,1,1000
241,241,0.044409200000018245,5.0,1,1000
242,242,0.04463620000001356,5.0,1,1000
243,243,0.044903900000008434,5.0,1,1000
244,244,0.045055200000092555,5.0,1,1000
245,245,0.045204200000057426,5.0,1,1000
246,246,0.04532219999998688,5.0,1,1000
247,247,0.045431699999994635,5.0,1,1000
248,248,0.04554319999999734,5.0,1,1000
249,249,0.045652300000028845,5.0,1,1000
250,250,0.045762200000012854,5.0,1,1000
251,251,0.045872900000063055,5.0,1,1000
252,252,0.045981100000062725,5.0,1,1000
