,0,1,2,3,4,5,0,1,2,3,4,5
3,0.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0
4,16.0,4.0,5.0,8.0,16.0,4.0,4.0,8.0,1.0,4.0,35.0,1.0
5,302.0,50.0,119.0,73.0,114.0,23.0,40.0,228.0,17.0,98.0,282.0,16.0
6,120.0,27.0,225.0,44.0,169.0,53.0,158.0,100.0,9.0,174.0,185.0,12.0
7,4.0,3.0,109.0,16.0,32.0,35.0,82.0,13.0,1.0,77.0,21.0,5.0
8,0.0,0.0,11.0,0.0,4.0,3.0,10.0,1.0,0.0,7.0,0.0,0.0
