,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
10,100,20520.0,0.008864299990818836,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 8, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9995568832057178,1.0,1000
11,1000,22458.0,0.1315691999916453,"[7, 8, 9, 5, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 7, 9, 7, 9, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 4, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 8, 7, 4, 5, 9, 3, 7, 8, 9, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 3, 0, 8, 6, 7, 9, 6, 2, 5, 7, 8, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 6, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 1, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9934431306979443,1.0,1000
12,0,16173.0,0.0001644000003580004,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",exponential,1.0,0.05,0.001,0.9999917800337662,1.0,1000
13,100,20520.0,0.015323100000387058,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 8, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9992341384217823,1.0,1000
14,1000,22458.0,0.15193350000481587,"[7, 8, 9, 5, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 7, 9, 7, 9, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 4, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 8, 7, 4, 5, 9, 3, 7, 8, 9, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 3, 0, 8, 6, 7, 9, 6, 2, 5, 7, 8, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 6, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 1, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9924321068071615,1.0,1000
15,0,16173.0,0.00016239999968092889,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",exponential,1.0,0.05,0.001,0.9999918800329831,1.0,1000
16,100,20520.0,0.008727599997655489,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 8, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9995637152000211,1.0,1000
17,1000,22458.0,0.1595658000005642,"[7, 8, 9, 5, 0, 8, 1, 8, 6, 9, 6, 7, 5, 5, 6, 2, 8, 9, 7, 9, 5, 9, 0, 7, 9, 9, 7, 6, 9, 3, 9, 6, 9, 8, 3, 9, 8, 7, 9, 7, 9, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 4, 5, 9, 2, 7, 7, 9, 8, 6, 9, 7, 8, 7, 4, 5, 9, 3, 7, 8, 9, 9, 7, 8, 9, 9, 6, 8, 8, 7, 7, 6, 1, 3, 0, 8, 6, 7, 9, 6, 2, 5, 7, 8, 7, 8, 7, 7, 6, 9, 0, 2, 3, 7, 7, 7, 9, 8, 8, 3, 6, 9, 8, 6, 3, 7, 2, 7, 8, 6, 5, 9, 2, 6, 8, 2, 7, 7, 1, 6, 7, 1, 7, 6, 4, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9920534520836897,1.0,1000
18,0,16173.0,0.00014590000500902534,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9, 2, 4, 5, 2, 4, 2, 4, 7, 7, 9, 1, 7, 0, 6, 9, 9, 7, 6, 9, 1, 0, 1, 8, 8, 3, 9, 8, 7, 3, 6, 5, 1, 9, 3, 4, 8, 1, 4, 0, 3, 9, 2, 0, 4, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 7, 3, 0, 8, 7, 7, 1, 1, 3, 0, 8, 6, 4, 5, 6, 2, 5, 7, 8, 4, 4, 7, 7, 4, 9, 0, 2, 0, 7, 1, 7, 9, 8, 4, 0, 1, 9, 8, 2, 3, 1, 2, 7, 2, 6, 0, 9, 2, 6, 6, 2, 7, 7, 0, 6, 5, 1, 4, 6, 0, 6, 5, 1, 2]",exponential,1.0,0.05,0.001,0.999992705026358,1.0,1000
19,100,20520.0,0.013923699996666983,"[7, 8, 9, 5, 0, 8, 1, 7, 6, 9, 6, 7, 5, 5, 6, 2, 8, 7, 7, 9, 4, 9, 0, 7, 9, 9, 7, 6, 9, 1, 9, 4, 9, 8, 3, 9, 8, 7, 7, 7, 5, 1, 9, 3, 9, 8, 9, 4, 7, 3, 9, 5, 0, 5, 9, 2, 7, 7, 9, 8, 6, 9, 3, 7, 7, 4, 5, 9, 3, 6, 8, 0, 2, 7, 7, 9, 9, 4, 8, 8, 7, 7, 5, 1, 3, 0, 8, 6, 7, 5, 6, 2, 5, 7, 8, 4, 8, 7, 7, 4, 9, 0, 2, 0, 7, 7, 7, 9, 8, 4, 0, 1, 9, 8, 6, 3, 7, 2, 7, 2, 6, 5, 9, 2, 6, 6, 2, 7, 7, 0, 6, 7, 1, 4, 6, 0, 9, 5, 1, 9]",exponential,1.0,0.05,0.001,0.9993040572807164,1.0,1000
